genel_nit_is_tanimi,ilan_baslik,label,skills
beklentiler uygulamasi gelistirme yayinlama konusunda deneyim sahibi responsive arabirimleri olusturabilen belirlenen gelistirme standartlari dahilinde cikti yazabilecek test edilebilir yazan olusturdugu ciktiyi dokumante edebilen ekiplerinden gelen geribildirimleri isleyebilecek ekiplerinden gelen ciktilari koda donusturebilecek code review gerceklestirebilecek tanimli devops sureclerine uyum saglayabilecek agile calismis veya calismak isteyen tercihen progressive application gelistirebilen fonksiyonel programlama konusunda bilgi sahibi veya istekli mocking pratikleri uygulayan teknik gereksinimler rest graphql yapilarinda json bicimlerde haberlesen webservislerle calisabilecek javascript ecmascript standartlari takip ederek node ekosistemine hakim react platformuna hakim veya benzeri yakin cozumde yetkinlik webpack rollup module bundling araclarini kullanabilen babel transpiler kullanabilmek sass less postcss preprocessorlari kullanabilen modules kullanabilen tercihen typescript yazabilmek,front developer,web_tasarim,fonksiyonel programlama devops rest graphql node json javascript ecmascript typescript sass less postcss react
firmamizin teknopark ankara ofisinde gorevlendirilmek uzere belirttigimiz niteliklere uygun takim arkadasi ariyoruz genel nitelikler universite mezunu tabanli yazilim gelistirme konusunda uzman laravel javascript frameworkleri calismis dokumantasyon duzenli kulturu olan teknik dokuman okuyabilecek derecede ingilizce bilgisi olan tercihen versiyon kontrol sistemleriyle calismis manevi degerlere sahip tanimi gelistirdigimiz uygulamalarda aktif alma gelistirilecek uygulamalara teknik dokuman hazirlama,laravel full stack developer,web_tasarim,javascript versiyon kontrol ingilizce
asis elektronik bilisim sistemleri ulkemizin bilisim sektorunde urettigi katma degeri istiraki zemana bilisim teknolojileri yeni boyuta tasimaktadir zemana bilisim teknolojileri yerli muhendislik cozumleri siber guvenlik yazilim hizmetleri sektorunde yilindan yana faaliyette olan yerli koklu yazilim gelistirme yuksek teknoloji sirketidir asis elektronik zemana daki baslattigi yeni siber guvenlik projeleri cercevesinde muhendislik teknik ekibini yeni takim arkadaslari guclendirmek genisletmek uzere asagidaki pozisyon gorev tanimlarina sahip ilanlarini ilgililerin bilgilerine basvurularina iletmektedir zemana ekibi surekli arastirma yaparak kullanicilarla etkileserek akilli guclu siber guvenlik cozumlerini gelistiriyor sadelige arastirmaya bizi dunyayi degistiren cozumlere ulastiran yapay zekâya inanan takim olusturuyoruz takimin uyesi sinirlari zorlamak dunyayi daha haline getirirken kendi sinirlarinin zorlanmasi icin buradadir disiplinler arasi birligi odullu guvenlik cozumlerini milyonlarca kullaniciya saglamakta basarimizin anahtaridir cinsiyet bedensel engel durumuna bakmaksizin herkes icin esit ortamda calisiyoruz zemana full stack gelistiricisi olarak kurumsal uygulamamizin front back kisimlarinda calisabileceksiniz proje muduru urun sahibi teknik destek muhendisleri tasarimcilarla yakindan calisacaksiniz aradigimiz nitelikler core proje gelistirebilme html javascript altyapilariyla deneyim deneyimi olmasi arti liskisel nosql veri tabanlari mimarisi konularinda derin bilgi nesneye yonelik tasarim kavramlarina modellerine duyulan gercek tutku cevik yazilim gelistirme metodu bilgisi deneyimi sunduklarimiz akilli yetenekli uzmanlarla calisma firsati misyon odakli amaca yonelik ekiplerle calisma firsati acik zihinler icin esnek calisma saatler yeni evlilere ozel ayricaliklar diger ofislere tasinma imkâni gorev yeri zemana bilisim teknolojileri bilkent cyberpark ankara,full stack gelistiricisi,web_tasarim,guvenlik full stack nesneye dayali programlama html javascript nosql
front development alaninda deneyimli angularjs konusunda tecrubeli tercihen diger javascript framework leri hakkinda bilgi sahibi olan react knockout backbone html jquery javascript dillerinde uzman rest mimarisi konusunda deneyimli typscript less sass responsive tasarimlar bootstrap konusunda bilgi sahibi cross browser uyumlulugu konusunda deneyimli detaylara onem veren gelistirmis oldugu onyuzlerle essiz kullanici deneyimi yasatabilen coder developer tartismalarinda sahibi olabilecek surekli ogrenmeye kendini gelistirmeye acik seviyede ngilizce bilgisine sahip yaptigi seven sahiplenen quick dirty developmentdan uzak tanimi yurtdisinda turkiye onde gelen kurumsal firmalari icin gelistirmis oldugumuz tikir tikir calisan milyonlarin kullandigi insanlarin hayatina dokunan uygulamalarda gorev alacak front developer pozisyonu icin takim arkadasi aramaktayiz,front developer,web_tasarim,javascript angularjs react knockout backbone html jquery react typscript less sass responsive inglizce frontend developer
universitelerin ilgili bolumlerinden mezun front development alaninda deneyimli derecede html bilen bootstrap bilgisine sahip javascript jquery frameworklerine hakim angularjs frameworkunde tecrube sahibi typescript bilgisi olan proje tecrubesi olan test sureclerine hakim cross browser uyumlulugu responsive tasarim konusunda deneyimli tercihen gorsel algisi yuksek tanimi ozel proje yazilimlari gelistirecek yazilim destegi verecek mobile applikasyonlar gelistirecek yazilim destegi verecek mevcut projelerin takibini guncellemeleri gerceklestirecek frontend developer ariyoruz,frontend developer,web_tasarim,html bootstrap javascript jquery typescript angularjs
deneyimli derecede deneyimi olan html javascript json jquery soap konularinda bilgi sahibi uygulamalari veya servisleri entegre calisan uygulama gelistirmis versiyonlama sistemleri hakkinda bilgi sahibi post odeme sistemleri banka altyapi tecrubesine sahip,yazilim gelistirme uzmani,web_tasarim, html javascript json jquery soap
grafik tasarim konularinda deneyimli sosyal medya yonetimlerine hakim adwords facebook reklamlari yonetimlerine hakim tasarim konularinda deneyimli windows ortaminda photoshop illustrator corel gibi tasarim programlarina hakim hizli calisabilen orta derece wordpress plesk cpanel kullanimi gerekirse yedekleme bilgisine sahip olan html kodlama bilgisine sahip genel hakkinda surekli kendini bilgilendiren genel yeni program kullanimlari yazilim dilleri hakkinda kendini bilgilendiren arastirmaci aktif canli tasarim fikirleriyle fark yaratan hizli pratik cozumler uretebilen gelen revizyonlari hizli dikkatli sekilde tamamlayabilecek yaratici pozitif esnek calisma kosullarina uyum saglayabilecek planlama onceliklendirme takibi becerisine sahip tasarim trendlerini sosyal teknolojik olaylari yakindan takip eden sorumluluk sahibi yaratici yenilikci proaktif enerjik dinamik ekip icinde zaman sevilen yeni ekip arkadasimizla tanismak istiyoruz tanimi kizilayda bulunan egitim firmamizin sayfalarini sosyal medya hesaplarini reklamlarini bagli musterilerin kurumlarin tasarim yazilim ihtiyaclarini cozerek belirtilen konularda uzman takim arkadasi aramaktayiz,tasarim sosyal medya uzmani,web_tasarim,photoshop illustrator wordpress html cpanel
milyonlarca insanin kullanacagi yaratici uygulamalari gelistirmek icin yola cikmis tecrubeli yetenekli kendine surekli seyler katmak isteyen yazilim gelistiricileri takimimizi buyutuyoruz pozisyon teknoloji yaklasimlarla birlikte cozecegimiz heyecan verici muhendislik isleri iceriyor olanaginin yaninda calisacak yazilim gelistiricilerimiz icin alisilagelmisin disinda calisma ortami sunmaktayiz yapacaklariniz sunlar temiz surdurulebilir yazmak incelemelerine katilmak kullanici deneyimlerini surekli cikartmak gelistirmek icin ekip yazilimlarimiz uzerine beyin firtinasi yapmak yaratici fikirleri yenilikci yazilimlara donusturmek kendini yazilim duzeyinde surekli gelistirmek yeni seyler ogrenmeye acik olmak gerekli beceri deneyimler gelistirmede yillik deneyim sahibi konseptinde yazilim mimarisi modellemede detayli bilgi sahibi windows servis uygulamalari konularinda bilgi sahibi javascript gelistirmede yillik deneyim sahibi react typescript html restful apis sass less javascript jquery ajax mvvm uzerinde derecede bilgi sahibi front framework lerden biri uzerinde angular react benzeri tecrube sahibi veri yapilari algoritma yazilim gelistirme prensipleri konularinda genis bilgi sahibi dagitik isletim sistemleri teknolojilerinde soap rest veya json gibi bilgili cozum uretebilme yetenegine sahip yeni teknolojileri kesfetmeye ogrenmeye istek duyan versiyon kontrolunde bilgi sahibi proje yonetimi yazilimlarinda jira veya quire gibi deneyim sahibi olmak tercih sebebi olabilecek ozellikler veya orta derecede ngilizce bilgisi konusma yetenegi veya daha fazla projeye katilmis tamamlamis olmak universitelerin ilgili bolumlerinden mezun olmak firmamiz firsat esitligi sunan isverendir nitelikli basvuru sahipleri cinsiyet kimligi veya ifadesi medeni veya herhangi baska ozellik dikkate alinmadan sadece gerekli tecrube bilgiye dayali olarak incelenecektir,native gelistirme uzmani,web_tasarim,javascript react typescript html restful apis sass less javascript jquery ajax soap rest json ingilizce
turkiye onde gelen genis kullanici kitlesine sahip platformu sikayetvar heyecan verici olcekteki teknik altyapisina katki saglayacak asagidaki niteliklere sahip takim arkadaslari aramaktayiz universitelerin muhendislik bolumlerinden mezun arayuz gelistirme konusunda tecrubeli html sass modern javascript gelistirme pratiklerine hakim html sketch html yapabilen standartlari konusunda bilgi sahibi javascript frameworklerden biri proje gelistirmis react redux vuex tecrubesi olan tercihen node deneyimi olan jasmine mocha gibi test kutuphaneleri calismis temel seviyede tasarim programlarini photoshop sketch kullanabilen cross browser uyumlulugu responsive tasarim konusunda deneyimli buyuk orta dereceli projelerin baslangictan sonuclanana kadar icinde almis sorumluluk sahibi gelisime acik takim calismasina onem veren ekip calismalarinda uyumlu tanimi sikayetvar diger kurum projelerinde gorev alarak kendisine aktarilan tasarimlarin kodlamalarini standartlarina uygun olarak kodlayacak arayuzunu gelistirmek arayuz ogelerine istenilen fonksiyonlarin kazandirilmasini saglamak gelistirilecek olan platformunun guncelleme denetimini gerceklestirmek,front developer,web_tasarim,html sass modern javascript react redux vuex photoshop sketch 
near east technology bunyesinde gorevlendirmek uzere kurumsal sayfasinin icinde sunulan bilgilerin interaktif sekilde calismasindan sorumlu olmak birimlerden gelen talepler dogrultusunda sayfalarini guncellemek yazilimi gelistirme uygulama gorsel tasarimi kodlayarak islevsel hale getirmek banka domain websitelerinin surekliligini kontrol etmek banka domain sitesine dair haberler duyurular icerik guncellemeleri gibi isteklere cevap vermek gerekli duzeltmeleri yapmak gelistirilen uygulamalarin standart test senaryolarina gore gelistirilmesi ilgili test methodolojilerin uygulanmasi teknolojik gelismeleri takip etmek projeyi fazlara bolerek fazlarinda kendi icerisinde ayristirma uygulayarak projenin ortaya cikan asamalariyla birlikte gelistirmek gelistirilen uygulamanin belirtilenler cercevesinde teslim gunune uyarak gelistirmek gelen isleri ekib uyeleri arasinda dagitmak sonuclarini kontrol etmek aranan nitelikler tercihen bilgisayar muhendisligi bilisim sistemleri muhendisligi mezunu olmak html konularinda bilgi sahibi olmak alaninda minumum calismis olmak wordpress sistemi ilgili bilgi sahibi olmak sozlu yazili iletisim becerisi stresli ortama dayanikli yogun tempo icerisinde verimli calisabilen sorunlari giderme yeni teknolojileri hizli anlayabilme analitik dusunce yetenegi gelismis planlama kisisel organizasyon becerisi gelismis ilan skur tarih sayili izni yayinlanmistir,yazilim uzmani,web_tasarim,yazilim gelistirme gorsel tasarim wordpress html
tercihen universitelerin endustri muhendisligi bolumunden mezun tercihen microsoft axapta ilgili yazilim destegi verme konusunda tecrubeli programlari konusunda kendisini gelistirme hedefi bulunan analizi surec metodolojileri konusunda bilgi sahibi ofis programlarina hakim sonuc odakli takim oyuncusu kaynaklari etkin verimli kullanabilen letisim becerileri gelismis sistematik surec bazli calisma aliskanligini olan analitik dusunme problem cozme yetkinligine sahip kendini gelistirmeye ogrenmeye istekli erkek adaylar icin askerlik hizmetini tamamlamis tanimi microsoft axapta programi uzerinde sirket fonksiyonlarinda kullanilan modullerin destegini vermek kullanicidan gelen taleplerin analiz edip yazilim ekibine aktarmak yeni gelistirmelerin test edilerek kullanici dokumanlarinin hazirlamak sureclerde iyilestirme gereken konularin tespit edilmesi surec verimliliginin artirilmasiyla ilgili gorev almak,analisti,is_analizi_raporlama,office programlari microsoft axapta iletisim becerilerine sahip kendini gelistiren
etiya uluslararasi standartlarda musteri deneyimini esas alan yapay zeka destekli dijital donusum uygulamalari gelistiren kitada askin calisani global teknoloji sirketidir etiya musteri yolculugunun adimlarini izlenebilir yonetilebilir hale getirerek kurumlarin veri odakli karar alma yapilarini guclendirir etkin cevik aksiyon almalarina yardimci olur kurumlarin musteri deger yonetimine gecmesini onceliklendiren etiya yapay zeka veri analitigi musteri yonetimi yeteneklerini rekabet kaldiraci olarak kullanir tamamen dijital surdurulebilir modeli insa edebilmelerini mumkun kilar hollanda kanada turkiye ukrayna singapur deki ofisleriyle hizmet vermeyi surduren etiya urun cozumleri dunya capinda bagimsiz kuruluslar tarafindan bircok odule layik gorulmustur surekli inovasyon gelisim odaginda kurumsal degerleri esas alan etiya calisanlarinin daha ileriye gitmelerini amaclar eger yenilikci cevik cesur hayalperest oldugunu dusunuyorsan yenilik tutkunu cevik hareket eden cesaretle beslenen lider teknoloji sirketinde calismak istiyorsan basvurunu bekliyoruz yillik tecrubeye sahip olmak kullanici arayuzu modelleme uygulamasi kullaniminda bilgi sahibi olmak yazilim gereksinim dokumani hazirlama konusunda tecrube sahibi olmak modelleme konusunda tecrube sahibi olmak proje analiz dokumanlari hazirlama konusunda tecrube sahibi olmak surec modelleme uygulamalari hakkinda tecrube sahibi olmak tanimi pozisyonda alacak kisi musteri lokasyonunda gorev yapacaktir,anali ankara,is_analizi_raporlama,veri analizi veri analitigi musteri yonetimi raporlama
universitelerin muhendislik bilgisayar endustri matematik yonetim bilisim sistemleri veya esdeger bilisim ilgili lisans bolumlerinden mezun analizi surec metodolojilerine hakim benzeri pozisyonda yazilim projelerinde gorev almis derecede ngilizce bilen tercihen veya diger programlari hakkinda bilgi sahibi liskisel veritabani bilgisine sahip sorgulamalari yapabilen tercihen yazilim gelistirme tecrubesine sahip tercihen microsoft office programlarindan access veya excel hakim tercihen sektorunde deneyimli uygulamalari gelistirme surecinde bulunmus karsilastigi problemleri analiz edip sistematik cozum uretebilen mevcut sureclerin iyilestirmesinde aktif alabilecek kullanicilardan gelecek olan sorulara yardimsever egitici cevaplar verebilen tanimi analisti kullanicilarina alanlarinda gelecek problemlere destek hizmeti verilmesi kullanici bakimlarinin yapilmasi egitim dokumantasyon hazirlanmasi kullanicilarimizdan gelen gelistirme taleplerinin degerlendirilmesi onem boyut olarak olceklendirilmesi partnerler proje bazli veya dogrudan yazilim taleplerimizin yonetilmesi yapilan gelistirmelerin kullanicilar birlikte testlerinin yapilmasinin saglanmasi calisma gruplarinin organize edilmesi sirketin surecleri ilgili bilgi sahibi olup yeni fikirler uretilmesi yonetimin istedigi raporlarin sonuclarina ulasacak yapilarin tasarlanmasi access excel power microsoft gibi firmalarin urunleri icin sureci etkileyen durumlarda egitim planlanmasi dokumantasyon yapilmasi,analisti,is_analizi_raporlama,office programlari ingilizce yazilim gelistirme problem analizi ve cozumu organizasyon
nitelikler universitelerin endustri muhendisligi bilgisayar muhendisligi sletme muhendisligi matematik sistem muhendisligi veya ilgili bolumlerinden mezun benzer pozisyonda deneyime sahip uygulamalari android teknolojileri iliskisel veritabanlari hakkinda bilgi sahibi office programlarini kullanabilen yazilim gelistirme sureclerine gereksinim belirleme tasarim kodlama entegrasyon test kurulum bakim proje yonetim metodolojilerine hakim yazilim test surecleri metodlari konusunda bilgi sahibi literaturu takip edecek seviyede ngilizce bilgisine sahip erkek adaylar icin askerligi tamamlamis veya tecil hakkina sahip olmak tanimi gelen hata taleplerin onceliklerini belirleyerek gereksinimlerini cikarmak yazilim gelistirme test ekibi gerekli koordinasyonda calisarak projenin asamalarinda bilgi aktarimi destegi saglamak gereksinim dokumanlarinin kullanici senaryolarini surece uygun hazirlamak gelistirilmesi tamamlanan taleplerin uygulamaya gecmeden once fonksiyonel testlerini yaparak musteri gereksinimleri uygunlugunun saglanmasi sirket profili yazilim bilgi teknolojileri sirketi havacilik alaninda havayollari havalimanlari sivil havacilik otoritelerine ozel urunler cozumler sunmaktadir ilgilenen adaylara tesekkur ederiz sadece ilgilenilen adaylar iletisime gecilecektir,analisti,is_analizi_raporlama,iliskisel veri tabani office programlari yazilim gelistirme proje yonetim yazilim test
universitelerin yonetim bilisim sistemleri yazilim muhendisligi bilgisayar muhendisligi matematik statistik bolumlerinden mezun analizi sistem analizi rollerinde uzeri deneyimi olan surec analizi raporlama konularinda deneyimli yazilim testleri test senaryolari konularinda deneyimli analitik dusunme yetkinligine sahip iletisimi kuvvetli sorumluluk sahibi olan ekip liderligi konusunda deneyimli takim calismalarina uyumlu tanimi acerpro deneyimli kadrosu yilindan beri ulusal uluslararasi banka sigorta sirketlerine yuksek teknoloji cozumleri uretmektedir acerpro ailesine katilmak uzere yazilim gelistirme ekibi verilmek uzere fonksiyonel tasarim dokumanini standartlari surec anlatimlari hata uyari yonlendirme durumlarini diger moduller etkilesimlerini fizibilitesini dikkate alarak detayli hizli sekilde hazirlamak guncelligini saglamak yazilim gelistirme ekibi beraber calisarak sureclerin anlasilabilirligini saglamak yazilim gelistirme ekibi tarafindan gelistirilen yazilimin prototipini incelemek konuda yazilim ekip lideri bilgilendirme kullanici kitaplarini isin tanimi uyulmasi gereken kurallar hata mesajlari cercevesinde hazirlama hazirlanmasini koordine etme birimleri iliskileri gelistirmek zenginlestirmek beklentilerini proaktif sekilde yonetmek memnuniyet seviyelerini izlemek olcumleri paylasmak kendilerine cozum onerileri sunmak birimlerinden gelen taleplerin sistematik olarak alinmasini analizlerinin yapilmasini dokumante edilmesini degerlendirilmesini onceliklerin belirlenmesini programlara veya projelere donusturulmesini hayata gecirilmesini devredilmesini takip etmek raporlamak yazilim test stratejilerini kullanici kabul testi zincirini gelistirmek uygulamak sorumlulugu altinda olan uygulamalarla ilgili olarak kullanicilara olay problem cozum destegi vermek ekiple yurutulen projelerde teknik proje yonetimini yapmak ekipler arasinda koordinasyonu saglamak uzere analistlerini ariyoruz,analisti,is_analizi_raporlama,analitik dusunen surec analizi raporlama ekip liderligi sorumluluk sahibi
universitelerin ekonometri endustri muhendisligi sletme muhendisligi sletme matematik veya statistik bolumlerinden mezun tercihen yapmis ayni veya benzer sektorde planlama analiz alaninda deneyim sahibi office uygulamalarini etkin olarak kullanan derecede yazili sozlu ngilizce bilgisine sahip konusunda bilgi deneyim sahibi analitik yetkinliklerini kullanarak parcalari birlestirebilen leri derecede zekasina finansal zekaya sahip derecede sayisal analiz yetenegi olan detaylara ozen gosteren senaryo planlama icin model tasarlayabilecek hedef belirleyebilecek yaratici varsayim onerilerle analiz surec yonetimini saglayabilecek gunluk detaylara guclu hakimiyetin yaninda buyuk resmi gorerek riskleri ongorulerde bulunacak sirket icindeki seviyedeki pozisyonlarla iletisim kurabilme yetenegi olan kendine guvenen bagimsiz zaman baskisi altinda calisabilen bilgi deneyimini genis sekilde paylasabilme guvenine sahip erkek adaylar icin askerligini yapmis tercihen stanbul avrupa yakasinda ikamet eden yeri beylikduzu ndedir tanimi urun musteri segmenti bazinda detayli satis karlilik hizmet verme maliyet analizlerinin gerceklestirilmesi iyilestirme alanlarinin belirlenerek raporlanmasi faaliyette bulunulan ulke segmentler bazinda butce calismalarinin yurutulmesi analizlerle ulusal uluslararasi performansin takip edilmesi satis pazarlama stratejilerinin belirlenmesi icin raporlarinin olusturulmasi yonetici degerlendirmesine sunulmasi what analizleri trend analizleri tahminleme analizleri business intelligence raporlarinin hazirlanmasi kampanya stratejilerinin yonlendirilmesi icin urun musteri analizlerinin gerceklestirilmesi satis hedeflerinin gerceklestirilmesine yonelik kampanya hesaplamalarinin yapilarak sisteme tanimlanmasi pazarlama stratejilerinin degerlendirilmesine yonelik analizlerin yapilmasi fiyatlama urun tanitimlari konusunda platformuna destek verilmesi rakiplerin pazardaki davranislarini inceleyerek rakip fiyat butce fiili analizleri gelecek ongorulerini hesaplanmasi,stratejik pazarlama analisti,is_analizi_raporlama,finans sayisal analiz inglizce iletisim becerine sahip kendine guvenen analiz yapan raporlama
universitelerin ilgili bolumlerinden mezun tercihen endustri muhendisligi gorev alani ilgili deneyimi olan leri seviyede ngilizce bilen temel programlama algoritma iliskisel veri tabani mimarisi uretim urun gelistirme seri uretim surecleri hakkinda bilgi sahibi olan office programlarini programini seviyede kullanabilen planlama onceliklendirme organizasyon iletisim yeteneklerine sahip takim calismasina yatkin iletisim yonu kuvvetli stanbul anadolu yakasinda veya kocaeli bolgesinde ikamet eden edebilecek tanimi farplas yurt icinde yurt disinda uretim yapan basta toyota renault hyundai ford tofas fiat olmak uzere otomotiv sanayi firmalarina uretim tesisinde kisilik calisaniyla arac disi trim plastik parcalarin urun gerceklestirme surecinin tasarim gelistirme kalip proje yonetimi seri uretim satis sonrasi destek tamaminda cozum ortagi olarak hizmet etmektedir farplas buyuyen organizasyonunda analisti olarak calisacak takim arkadasi ariyor otomasyon sistemleri ilgili talepleri degerlendirerek cozum uretmek surec tasarimlarina uygun test senaryolarinin hazirlamak yazilim cozumlerinin senaryolara uygun sekilde test etmek dokumantasyonunu olusturmak test surec metotlarin diger cozum gelistirme surecleri entegre etmek danismanlar birimleri arasinda iletisim koordinasyonu saglamak sistemlerdeki hatalar ilgili gerekli aksiyonlari alip hata analizi yapabiliyor olmak otomasyon sistemleri sistemleri arasindaki entegrasyonlarin analizini yapmak,analisti,is_analizi_raporlama,ingilizce programlama algoritma veri tabani hata analizi office programlari urun gelistirme iletisim becerilerine sahip
genel teli kler universitelerin ilgili bolumlerinden mezun yazilim gelistirmeyle ilgili islerde tecrube sahibi yazilim gelistiricisi veya analist olarak daha once calismis derecede ngilizce bilen advanced tanimi yurtici yurtdisi musterilerimiz icin gelistirilecek gelistirilmekte olan yazilimlarimizin analiz entegrasyon surec gelistirme gorevlerinde calisacak yazilim gelistirme surecleri kapsaminda fonksiyonel analiz arayuz tasarimi dokumantasyon calismalarini yapmak yazilim cozumlerinin belirlenmesi sureci kapsaminda ihtiyaclarina karsilik gelen teknik ihtiyaclari belirlemek fizibilite calismalarini yapmak guvenlik kontrol ihtiyaclarini fizibilite asamasinda degerlendirmek yazilim gelistirme test sureci kapsaminda test senaryolari olusturmak uygulamak analiz arayuz tasarimi test senaryo dokumanlarini arsivlemek kullanici kabul testi icin kollari gerekli koordinasyonu saglamak uygulamalarin kullanim kilavuzlarini egitim dokumanlarini olusturmak problem yonetim sureci kapsaminda kullanicilar tarafindan iletilen problemleri incelemek kaynagini tespit etmek cozum icin ilgili gruplari bilgilendirmek yazilim muduru tarafindan verilecek gorevler kapsaminda yeni gelisecek surecleri yazilim sonuclarini analiz etmek,yazilim analizi uzmani sisli,is_analizi_raporlama,yazilim gelistirme analiz ingilizce problem yonetimi analiz raporlama fizibilite
sirketimizin gereksinim yonetimi departmani analisti olarak gorev alacak universitelerin endustri muhendisligi matematik muhendisligi bilgisayar muhendisligi sletme muhendisligi statistik veya esdeger bolumlerinden mezun tercihen sigorta sektorunde surec analizi veya analizi konularinda yillik mesleki deneyime sahip leri duzeyde office word excel visio powerpoint uygulamalarini kullanabilen tercihen akisi analiz araclari hakkinda bilgi sahibi analitik dusunme problem cozme yetkinligine sahip arastirmaci yenilikci yazilimin surec analizi yazilim gereksinimi belirleme dokumantasyon test senaryolari gelistirme test kabul faaliyetlerini gerceklestirme koordine etme konularinda deneyim sahibi duzenli raporlama aliskanligi olan dokumantasyona onem veren takim calismalarinda etkin iletisim gucu yuksek sorumluluk sahibi askerlik yukumlulugunu tamamlamis veya tecil ettirmis erkek adaylar icin calisma arkadaslari ariyoruz tanimi aramiza katilacak olan arkadaslarimiz sigortacilik uygulama yazilimi gelistirme projelerinde gorev alacak proje kapsaminin belirlenmesi ihtiyaclarinin toplanmasi analiz dokumante edilmesi testlerin gerceklestirilmesi projelerin uygulamaya alinmasi gibi sureclerden sorumlu olacaktir aramiza katilacak olan arkadaslarimiz sigortacilik uygulama yazilimi gelistirme projelerinde gorev alacak proje kapsaminin belirlenmesi ihtiyaclarinin toplanmasi analiz dokumante edilmesi testlerin gerceklestirilmesi projelerin uygulamaya alinmasi gibi sureclerden sorumlu olacaktir,analisti,is_analizi_raporlama,istatistik office programlari surec analizi sigortacilik analitik dusunen raporlama iletisim becerilerine sahip
genel teli kler universitelerin ilgili bolumlerinden mezun tercihen lojistik tedarik zinciri perakende sektorlerinde minimum benzer pozisyonlarda deneyimli data veri yorumlama analiz yetenegine sahip surec akislarini hizli kavrayabilen alternatif akis diyagramlari gelistirebilen analizi modelleme safhalarini ustlenebilecek tercihen kullanici deneyimi konusunda deneyimli tanimi yazilim gelistirme projeleri icin birimleri yakin temas halinde bulunarak yazilim iyilestirme ihtiyaclarini analiz etmek analiz dokumanlarini hazirlamak gereksinimlere gore sistem tasarimlarini ekran tasarimi veri tabani tasarimi yapmak yazilim ekibi birimi arasindaki bilgi akisinin dogru eksiksiz sekilde gerceklesmesini saglamak gelistirilen uygulamalarin sistem testlerini yurutmek koordine etmek sletimde cikabilecek yazilim veya kullanim sorunlarinin cozumlemek,yazilim analisti,is_analizi_raporlama,veri yorumlama analiz akis diyagramlari sistem tasarimi
universitelerin ilgili lisans bolumlerinden mezun yazilim projelerinde analisti olarak deneyim sahibi liskisel veri yapilari server konularinda bilgi deneyim sahibi tercihen tasarimi kullanilabilirlik kavramlari hakkinda bilgi sahibi takibi surec yonetimi konusunda tecrubeli dokumantasyona onem veren arastirma analitik dusunme problem cozme yetenegine sahip ekip calismasina yatkin planli organize belgeleyerek calisabilen isini sahiplenen sorumluluk almaya istekli derecede ngilizce bilen office visio project programlarini ileri duzeyde kullanabilen tercihen redmine jira proje yonetim araclarinda deneyim sahibi erkek adaylar icin askerligini tamamlamis veya tecilli tanimi yazilim projelerinde analisti olarak gorev yaparak proje paydaslarinin musteri kullanici dahil gercek ihtiyaclarini ortaya cikarmak analiz etmek dogrulamak tanimlamak test etmek projede musteri tarafi yazilim gelistiren taraf proje yonetim ekibi arasindaki ihtiyaclarin akisini saglayan kanal rolunu ustlenmek proje ihtiyaclarinin dokumante edilmesinden sorumlu olmak gerekli yazilim urunlerini yuzler bilesenler tasarlamak gelistirme ekibine aktarmak mock cizimleri yapmak akis aktivite diyagramlari kullanici senaryolari olusturmak gelistirilen urunleri test etmek hata bulgulari takip ederek duzelttirmek tamamlanan urunlerin devreye alinmasini planlamak gerektiginde veri aktarimini tasarlamak planlamak gerektiginde bilgilendirme egitim belgeleri kilavuz dokumanlari hazirlamak sureclerde proje yonetimi sorumlulugunu ustlenerek gerektiginde kararlar alabilmek proje sureclerinin raporlamalarini yapmak sureclere dair belgeler uretmek,analisti,is_analizi_raporlama,veri yapilari office programlari surec yonetimi analitik dusunen
artilar dunyasi defacto yilinda calisan sayisina ulasacak defacto mutlulugunu onemseyen sadece mutlulugun icin calisan ekip mutluluk muduru mutluluk kadrolu spor egitmeni spor salonu kaliteli yasam danismani saglikli yasam saglik aradigimiz ozellikler temel fonksiyonlar sana uyuyorsa aramiza hayatina hayatimiza deger birlikte gelecege depar atalim aradigimiz ozellikler universitelerin endustri muhendisligi sletme muhendisligi matematik sistem muhendisligi statistik ekonometri bolumlerinden mezun gelistirme analitigi konularinda tercihen perakende sektorunde deneyimli seviyede bilgisi olan derecede ngilizce bilen office programlarini ileri duzeyde kullanabilen erkek adaylar icin askerlik hizmetini tamamlamis takibi surec yonetimi dokumantasyon konusunda tecrubeli planli disiplinli calisma aliskanligi olan tercihen talep yonetimi uygulamasi kullanmis talep yonetimi uygulama gelistirme sureclerine hakim temel fonksiyonlar musterilerden gelen talepleri inceleyerek detayli analizler icin gerekli gorusmelerin yapilmasi taleplere istinaden gereksinim dokumanlarinin hazirlanmasi talep sahibinden onay alinmasi belirlenen gereksinimlere uygun olarak teknik analiz dokumanlarinin hazirlanmasi takibindeki taleplerin olusmasindan canli ortama tasinmasina kadar analiz gelistirme test sureclerinin sureclerinin uctan takip edilmesi kendisine atanmis gorevlerle ilgili geri bildirimlerin duzenli olarak yapilmasi periyodik planlarinin hazirlanmasi takibi,anali,is_analizi_raporlama,ekonoetri teknik analiz raporlama
